Year,Month,Day,Hour,Hs (m),v10 (m/s)
2008,1,1,0,3.446098205,6.504866216
2008,1,1,6,3.33733765,7.705569559
2008,1,1,12,3.195431021,7.402196081
2008,1,1,18,2.971436069,6.317548444
2008,1,2,0,3.067248939,7.64688724
2008,1,2,6,3.308593789,10.86890873
2008,1,2,12,3.72136599,13.55454382
2008,1,2,18,3.829090731,13.78744889
2008,1,3,0,4.109278636,15.87858881
2008,1,3,6,4.033664155,13.62987606
2008,1,3,12,3.290725984,11.10130615
2008,1,3,18,3.132505272,9.329625375
2008,1,4,0,3.411657363,8.843363484
2008,1,4,6,3.195172067,8.179947563
2008,1,4,12,2.934405689,11.61467804
2008,1,4,18,3.13380004,12.58397577
2008,1,5,0,3.417872251,12.36326848
2008,1,5,6,5.150531473,14.05552438
2008,1,5,12,6.484919901,13.79637304
2008,1,5,18,6.752419075,14.05280487
2008,1,6,0,7.267995897,16.11401867
2008,1,6,6,5.797915729,11.63925946
2008,1,6,12,4.284072385,8.37962728
2008,1,6,18,3.333971252,2.383092985
2008,1,7,0,2.938289995,6.80621196
2008,1,7,6,2.714553996,2.686719675
2008,1,7,12,2.926119171,8.729014339
2008,1,7,18,3.7185175,11.32808077
2008,1,8,0,4.360463728,12.66024541
2008,1,8,6,4.187223701,9.257954984
2008,1,8,12,3.840484693,10.00763575
2008,1,8,18,3.879068795,12.22071643
2008,1,9,0,4.305824496,12.39137236
2008,1,9,6,7.830443338,21.92275684
2008,1,9,12,6.140770431,15.04249568
2008,1,9,18,4.341301154,8.600049944
2008,1,10,0,3.395343279,6.630826207
2008,1,10,6,3.022708902,9.931924037
2008,1,10,12,2.961854782,8.605322267
2008,1,10,18,3.754253111,13.4862135
2008,1,11,0,3.451795186,11.5844003
2008,1,11,6,3.090036864,10.10099415
2008,1,11,12,2.825386181,8.984417033
2008,1,11,18,2.498327655,4.167159154
2008,1,12,0,2.222283008,1.982333459
2008,1,12,6,2.039202741,3.084234056
2008,1,12,12,1.937433936,3.26481949
2008,1,12,18,1.967472565,9.886160088
2008,1,13,0,2.512052201,15.21093726
2008,1,13,6,2.086850222,10.58796188
2008,1,13,12,1.843433742,5.998432718
2008,1,13,18,1.812359297,4.480417391
2008,1,14,0,1.992591074,5.688457465
2008,1,14,6,2.114299314,5.466274808
2008,1,14,12,1.883830519,1.148424122
2008,1,14,18,1.780249038,2.454295016
2008,1,15,0,2.062767527,3.175270269
2008,1,15,6,1.904546815,6.452977565
2008,1,15,12,1.952712204,9.748381213
2008,1,15,18,2.422195266,13.07394542
2008,1,16,0,2.967292809,12.59334639
2008,1,16,6,2.652923015,9.789566976
2008,1,16,12,2.167384823,4.587630137
2008,1,16,18,2.09228825,4.288661029
2008,1,17,0,2.566691432,10.76184008
2008,1,17,6,2.953050356,14.66527888
2008,1,17,12,2.587148775,10.61525569
2008,1,17,18,2.599319599,4.900764757
2008,1,18,0,3.780925342,9.702967781
2008,1,18,6,3.850842842,7.245493643
2008,1,18,12,4.152264951,16.61583265
2008,1,18,18,6.409046466,18.77332744
2008,1,19,0,4.267758302,12.48357402
2008,1,19,6,3.664396176,11.45438133
2008,1,19,12,3.292279706,10.6210157
2008,1,19,18,2.938289995,7.357236799
2008,1,20,0,2.93026243,6.985298547
2008,1,20,6,2.79949081,8.08632072
2008,1,20,12,2.711446552,8.850997951
2008,1,20,18,2.708080153,7.767118322
2008,1,21,0,2.471655423,3.694206987
2008,1,21,6,2.362894868,4.651052966
2008,1,21,12,2.415203516,6.457718506
2008,1,21,18,2.000877593,3.396128346
2008,1,22,0,1.743218659,3.901700544
2008,1,22,6,2.020558074,10.36109184
2008,1,22,12,2.388790239,16.19072409
2008,1,22,18,3.106350948,9.928020193
2008,1,23,0,3.97384585,8.892938136
2008,1,23,6,4.785665707,10.51978129
2008,1,23,12,4.936117808,10.04287626
2008,1,23,18,5.126707733,17.13396505
2008,1,24,0,5.256961445,14.71391976
2008,1,24,6,5.542587378,14.02336293
2008,1,24,12,5.876637654,14.52316094
2008,1,24,18,6.343790133,19.35993455
2008,1,25,0,8.030355596,23.27050168
2008,1,25,6,8.565612899,20.1325604
2008,1,25,12,8.995734998,19.68487173
2008,1,25,18,7.214910388,14.14822544
2008,1,26,0,6.514699577,18.33560552
2008,1,26,6,5.970637848,15.71183988
2008,1,26,12,4.972112372,8.967358787
2008,1,26,18,5.380482361,17.21062352
2008,1,27,0,5.840384136,14.97740368
2008,1,27,6,5.201804306,11.25957128
2008,1,27,12,4.42779169,10.16327499
2008,1,27,18,3.995597961,9.996731886
2008,1,28,0,4.035735785,11.9912174
2008,1,28,6,4.304011821,12.59760272
2008,1,28,12,4.603103347,13.75382025
2008,1,28,18,4.468188468,13.64725593
2008,1,29,0,3.642903019,8.876777487
2008,1,29,6,3.071910105,2.353266823
2008,1,29,12,2.84843306,3.795894682
2008,1,29,18,3.639536621,13.61525862
2008,1,30,0,3.637464991,10.14301432
2008,1,30,6,3.87518449,10.39504984
2008,1,30,12,4.487092088,14.50099604
2008,1,30,18,5.151049381,15.66597519
2008,1,31,0,6.816898547,23.05541639
2008,1,31,6,7.598938728,17.09988529
2008,1,31,12,8.323232233,21.37773079
2008,1,31,18,8.683954741,18.11926297
2008,2,1,0,7.785385394,21.63422553
2008,2,1,6,7.194970953,17.98365338
2008,2,1,12,5.806979108,14.61986294
2008,2,1,18,4.237201765,11.93705444
2008,2,2,0,3.593701815,5.827981531
2008,2,2,6,3.040835661,10.1487704
2008,2,2,12,2.76168357,8.34724642
2008,2,2,18,3.151667845,14.69375399
2008,2,3,0,4.117306201,16.63488403
2008,2,3,6,3.913509638,15.33445792
2008,2,3,12,3.852396564,14.90696897
2008,2,3,18,3.042389383,7.227928468
2008,2,4,0,3.315326585,10.23070682
2008,2,4,6,4.229692108,16.11991399
2008,2,4,12,4.423907385,15.11880991
2008,2,4,18,4.548464115,13.94107957
2008,2,5,0,3.476654742,5.298199421
2008,2,5,6,2.761165662,4.572567176
2008,2,5,12,2.276404332,5.353901241
2008,2,5,18,1.929665325,4.229334923
2008,2,6,0,2.578344349,10.24731361
2008,2,6,6,3.025298439,12.47764383
2008,2,6,12,2.84351294,6.571334606
2008,2,6,18,2.626509737,9.50420054
2008,2,7,0,3.2464449,17.88067189
2008,2,7,6,4.36693757,15.80779195
2008,2,7,12,3.364786742,6.720022828
2008,2,7,18,2.910064041,5.157517527
2008,2,8,0,3.620374047,14.53433186
2008,2,8,6,4.534480616,16.84875968
2008,2,8,12,4.727660077,15.06381839
2008,2,8,18,3.713597379,6.292469235
2008,2,9,0,3.195172067,12.62010866
2008,2,9,6,3.434963196,13.85090486
2008,2,9,12,4.141388896,13.79908319
2008,2,9,18,3.886319499,4.996064822
2008,2,10,0,4.154077627,2.321286985
2008,2,10,6,4.923170123,3.310336161
2008,2,10,12,4.994900298,6.903652527
2008,2,10,18,4.391279218,6.351774109
2008,2,11,0,3.921278249,9.024002349
2008,2,11,6,3.389905252,9.179443645
2008,2,11,12,2.938031041,9.945564711
2008,2,11,18,2.499881377,7.703016101
2008,2,12,0,2.269671536,7.792255291
2008,2,12,6,2.08814499,7.416650135
2008,2,12,12,1.942095102,5.802012775
2008,2,12,18,1.849389677,3.201003423
2008,2,13,0,1.804331733,3.482878961
2008,2,13,6,1.757202159,3.21631659
2008,2,13,12,1.930442186,3.423798169
2008,2,13,18,1.633940197,2.507867752
2008,2,14,0,1.506793929,5.479515562
2008,2,14,6,1.46070017,5.940357827
2008,2,14,12,1.602606799,6.992156595
2008,2,14,18,1.454485281,4.748542394
2008,2,15,0,1.684695122,6.970116643
2008,2,15,6,1.979643389,5.882328613
2008,2,15,12,2.226426267,6.609125668
2008,2,15,18,2.317319017,5.784407897
2008,2,16,0,2.343732294,6.121035947
2008,2,16,6,2.161946795,5.308151458
2008,2,16,12,1.922932528,7.279611326
2008,2,16,18,1.763934955,4.756188539
2008,2,17,0,1.724832946,6.033933823
2008,2,17,6,1.78879451,4.485988226
2008,2,17,12,1.838513621,5.0253588
2008,2,17,18,1.92862951,3.338915151
2008,2,18,0,1.901180417,2.488088751
